stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1581.35,25380.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.68,0,0,0,0,0,0,0,0,0,0
  5-6,2519.28,31224.36,0,49.04,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0,0,925.57,91.94,0,0,263.57,0,588.44,0,0,0,0,0,0,0,0,0,0
  7-9,525.74,531,0,975.25,0,5.26,0,1942.62,0,0,0,0,630.89,0,0,0,0,0,0,0,0,0,0,0,17128.7,594.09,0,0,6111.76,0,26.29,36.8,0,7.89,0,0,0,0,0,0,0
 10-12,3.15,380.78,0,531.84,0,59.79,0,1183.26,0,0,0,0,195.11,0,0,0,0,0,3.15,0,0,0,0,3.15,9475.52,229.73,0,0,3584.4,0,18.88,15.73,9.44,434.28,31.47,31.47,0,0,0,0,0
 14-21,0,1,0,12,156,42,0,101,0,0,29,3,1,0,0,2,0,1,0,0,79,0,0,77,948,19,9,13,51,0,11,3,172,5,108,388,0,0,1,0,1
 24-34,0,0,0,4.1,40.22,7.39,0,206.03,1.64,0.82,27.91,1.64,0,3.28,4.93,5.75,0.82,8.21,6.57,0.82,123.13,0.82,0,54.18,914.43,10.67,9.03,10.67,0,0,18.06,0,1.64,0.82,9.03,235.59,0,0,11.49,0,2.46
 36-46,0,0,0,0.81,12.09,3.22,0,368.19,0.81,2.42,19.34,1.61,0,0.81,4.83,0.81,1.61,0,1.61,0.81,111.99,1.61,0,30.62,579.28,0.81,4.83,3.22,0,0,8.06,0,0,0,0,130.52,0,0,10.47,0,1.61
 48-58,0,0,0,1.15,12.62,0.57,0,469.37,0.57,2.3,36.15,3.44,0,2.3,3.44,1.72,0,2.3,2.3,0,127.38,1.15,10.9,30.99,368.96,0.57,3.44,3.44,0.57,0,4.59,0.57,0,0.57,0,58.53,0,0,12.05,0,2.3
 60-70,0,0,0.98,0,18.65,0,0,337.64,1.96,0.98,30.43,5.89,0,0.98,1.96,0.98,0,1.96,0,0,86.37,0,5.89,13.74,267.96,0.98,0.98,0,0,0,4.91,0,0,2.94,0,14.72,0,0,4.91,0.98,0
 72-82,0,0,3.93,0,15.71,3.93,0,139.4,0,3.93,38.28,3.93,0,1.96,8.83,1.96,0.98,1.96,1.96,0.98,98.17,0.98,6.87,17.67,224.8,0,3.93,0.98,0,1.96,1.96,0,0,0,0,12.76,0,0,17.67,0,0
 84-94,0,0,0,0,24.43,8.5,0,118.95,1.06,1.06,20.18,5.31,0,1.06,12.74,3.19,2.12,1.06,0,0,86.03,1.06,4.25,21.24,138.06,1.06,1.06,0,0,0,6.37,0,0,1.06,0,9.56,3.19,1.06,12.74,2.12,0
 96-106,0,0,0,0,18.58,4.37,0,76.5,1.09,1.09,22.95,4.37,0,3.28,10.93,0,2.19,2.19,1.09,0,63.39,1.09,4.37,17.49,116.93,0,4.37,2.19,0,2.19,2.19,0,0,1.09,0,7.65,0,0,7.65,2.19,1.09
108-118,0,0,0,0,13.79,8.43,0.77,59.75,1.53,3.06,12.26,3.06,0,1.53,11.49,0,4.6,1.53,2.3,0,47.49,0.77,1.53,9.19,130.98,0,0,0,0,0.77,1.53,0,0,0.77,0,3.06,0,0,6.13,0,0
120,0,0,0,0,15.68,17.64,1.96,52.91,0,5.88,31.36,1.96,0,0,11.76,1.96,1.96,0,1.96,0,54.87,0,0,15.68,103.87,0,1.96,0,0,0,5.88,0,0,1.96,0,3.92,0,0,11.76,0,0
