stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,1,1,6,127,27,30,1,0,19,3,246,3,2,2,1,1,1,3,43,0,0,31,569,25,1,4,12,29,1,54,6,9,105,181,4,1
 24-34,0,0,0.82,95.22,10.67,115.74,4.1,3.28,24.63,3.28,76.34,2.46,4.1,10.67,0,6.57,11.49,4.1,141.19,2.46,1.64,74.7,1406.95,15.6,15.6,20.52,0,84.55,0,0,9.85,4.93,27.91,277.45,38.58,1.64
 36-46,0,0,0,8.86,1.61,50.76,0,0,5.64,0,24.98,0.81,0.81,3.22,0,1.61,1.61,0.81,36.26,1.61,0,8.86,322.27,2.42,2.42,5.64,0,32.23,0,0,3.22,0.81,0.81,42.7,4.83,4.03
 48-58,0,0,0,3.44,0.57,30.41,0,1.15,4.02,0,46.48,0.57,0,0.57,0,0,0,0,19.51,0,0.57,2.87,81.48,0,0.57,3.44,0,2.87,0,0,0,0,0,20.08,1.15,2.87
 60-70,0,0,0,0.98,0,7.85,0,0.98,1.96,0,18.65,0,0,0,0,0.98,0,0,8.83,0,0,0,18.65,0,0,4.91,0,1.96,0,0,0,0,0,0.98,0.98,1.96
 72-82,0,0,0.98,0.98,0,4.91,0,0,1.96,0,8.83,0,0,0,0,0,0,0,8.83,0,0,0,7.85,0,0,17.67,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,1.06,0,0,0,1.06,2.12,0,8.5,0,0,0,0,0,0,0,7.43,0,0,0,3.19,0,0,18.05,0,1.06,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,1.09,0,3.28,0,0,6.56,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,3.83,1.53,0,0.77,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,2.3,0,0,0,4.6,0.77,0,14.55,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0
