stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172.84,0,0,0,0,0,0,0,0
  5-6,18.39,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,594.57,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,18.4,99.89,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,9.44,0,0,6.29,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,2,143,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,5,1,0,0,0,232,1,0,1,6,0,0,0,0
 24-34,0,0,3.28,86.19,0,0,0.82,4.93,0,0,0,0,0,0,6.57,0,0.82,0.82,1.64,0,0,22.98,0,0,1.64,0,306.18,0,0.82,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,29,0,0,1.61,3.22,1.61,0,0,0.81,0.81,0,4.03,0,2.42,0.81,1.61,0,0.81,12.89,0,0.81,0,0,236.87,0,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,19.51,0,0,3.44,3.44,1.72,0,0,0,0,0,5.16,0,2.87,1.72,2.87,0,0,10.9,0,0,0.57,0,233.54,0,0,0,4.02,0,0.57,0,0.57
 60-70,0,0,0,31.41,0.98,0,3.93,6.87,0.98,0.98,0,0,0,0,5.89,0,0,2.94,0.98,0,0,6.87,0,0.98,0,0,217.9,0,0,0,2.94,0.98,0,0,0.98
 72-82,0,0,0,53.99,0,0,3.93,8.83,0.98,2.94,0,0.98,3.93,0,1.96,0,0,5.89,2.94,0,0,10.8,0,0,2.94,0,346.53,0,0,0,3.93,2.94,0.98,0,0
 84-94,0,0,0,59.47,0,0,2.12,12.74,1.06,1.06,0,2.12,9.56,1.06,3.19,0,1.06,3.19,3.19,1.06,0,5.31,0,1.06,1.06,0,659.53,0,0,0,0,4.25,1.06,0,0
 96-106,0,0,0,134.42,0,0,9.84,28.41,1.09,4.37,0,5.46,10.93,0,1.09,1.09,0,8.74,3.28,0,1.09,9.84,1.09,4.37,5.46,0,642.59,0,0,0,0,5.46,4.37,1.09,1.09
108-118,0,0,0,93.45,1.53,0.77,3.83,24.51,2.3,8.43,0,3.83,14.55,0,2.3,0,1.53,4.6,5.36,0,0,13.02,0,3.83,1.53,0,409.02,0,0,0,0,3.83,0,0,0
120,0,0,0,107.79,0,0,3.92,25.48,0,1.96,0,0,3.92,0,1.96,0,1.96,1.96,3.92,0,0,9.8,0,1.96,1.96,0,358.64,0,0,0,1.96,3.92,3.92,0,0
