stage,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,1.61,0,0,0
 48-58,0,0.57,0,0,0,0,0.57,2.3,0,0,1.72,0,0
 60-70,0,0.98,0,0,0,0.98,0,0.98,0,2.94,0,0,0
 72-82,0.98,0.98,0,0,1.96,0.98,0,0.98,0,2.94,0,0,0
 84-94,0,0,0,1.06,2.12,1.06,0,0,1.06,6.37,0,0,0
 96-106,0,1.09,1.09,0,1.09,2.19,0,1.09,0,10.93,0,0,1.09
108-118,0,0,0,0,2.3,0,0,1.53,0,3.83,0,0,0
120,0,0,0,0,7.84,0,0,0,0,1.96,0,1.96,0
