stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,23.66,2.63,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,59.79,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,0.82,0.82,0,0,0,0,0,0,0,4.93,0,0.82,21.34,0.82,1.64,0,0,0,0,0,0,0.82,0,5.75,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,2.42,0,0,1.61,0,0,0.81,0,0,8.06,0,0.81,21.75,0.81,0.81,0,0,0,0.81,0,0,0,0,7.25,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,4.59,0,0.57,1.15,0,0,0,0,0.57,9.75,0,0,24.67,0.57,0,0,0,0,1.15,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0,2.94,0,9.82,0,0,0,0,0,1.96,0.98,0,12.76,0,0.98,47.11,0.98,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0.98,0,7.85,0.98,0.98,3.93,0,0,0,0,0,19.63,0,1.96,41.23,0.98,0,0.98,0,0,0,0,0,0,0,5.89,0.98,0.98,0,0
 84-94,0,0,0,0,2.12,0,2.12,0,0,2.12,0,0,0,0,0,11.68,2.12,0,14.87,0,0,0,0,0,2.12,0,0,0,0,3.19,0,0,1.06,1.06
 96-106,0,0,1.09,0,0,0,8.74,0,0,0,0,0,0,0,0,7.65,1.09,0,22.95,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,6.13,0,0,0.77,0,0,0,0,0.77,12.26,0,1.53,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,5.88,0,0,1.96,1.96,0,0,0,0,0,0,0,39.2,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
