stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0.82,6.57,0,0,1.64,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0
 48-58,0,0,2.3,0.57,0.57,0,0,0,0,0.57,0.57,0,6.31,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,1.96,0,0,4.91,0.98,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,1.06,1.06,0,1.06,0,0,4.25,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0,1.53,0,0.77,0.77,0,0.77,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0
