stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,6.29,3.15,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,116.44,18.88,0,0,53.5,0,3.15,0,3.15,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,211,36,25,0,3,0,3,9,6,3,0,0,0,0,1,3,87,0,0,52,336,9,2,4,10,0,0,0,72,4,15,67,98,0,0,3,0,0
 24-34,0.82,0,0,0.82,21.34,1.64,18.06,0,5.75,9.03,5.75,0.82,0,3.28,0,0,0,3.28,0.82,0.82,77.16,0,0,55.82,189.62,3.28,0.82,3.28,0,0,4.93,0,1.64,0.82,2.46,39.4,50.07,0,0,15.6,0,0
 36-46,0,0,0,0,16.11,1.61,13.7,0.81,4.83,11.28,14.5,0,0,4.83,0,0,0.81,0,0.81,0,137.77,0,0.81,37.87,133.74,0.81,0,5.64,0,0,3.22,0,0.81,0,0.81,0,29,0,0,4.03,0,0
 48-58,0,0,0,0,8.61,0,24.67,2.3,1.15,12.62,14.92,0,0,2.87,0.57,0,0,0,0,0,133.7,0,2.87,8.61,92.96,0,1.15,6.89,0,0,1.15,0,0,0.57,0.57,0,23.53,0,0.57,1.72,0.57,0
 60-70,0,0,0,0,8.83,2.94,38.28,0,0,7.85,5.89,0,0,0,0,0,0,0,0,0,172.75,0,0.98,8.83,69.69,0,0,5.89,0,0,0.98,0,0,0,0,0,14.72,0,5.89,2.94,2.94,0
 72-82,0,0,0.98,0,7.85,4.91,48.1,1.96,0,17.67,5.89,1.96,0,0,0.98,0.98,0,0.98,0.98,0,212.04,0.98,4.91,12.76,93.26,0,2.94,9.82,0,0,1.96,0,0,0.98,0,0,15.71,0,4.91,2.94,1.96,0.98
 84-94,0,0,0,0,16.99,6.37,37.17,3.19,3.19,7.43,6.37,2.12,0,0,4.25,1.06,0,1.06,0,4.25,168.86,0,6.37,7.43,42.48,0,1.06,11.68,0,1.06,2.12,0,0,0,0,0,10.62,3.19,6.37,4.25,3.19,0
 96-106,0,0,0,0,20.76,10.93,26.23,2.19,3.28,7.65,3.28,0,0,0,5.46,2.19,0,1.09,0,1.09,128.96,1.09,1.09,8.74,38.25,0,0,25.14,0,3.28,5.46,0,0,1.09,0,0,2.19,1.09,5.46,3.28,4.37,0
108-118,0,0,0,0,20.68,9.96,22.21,0.77,2.3,6.13,4.6,0,0,0,3.06,3.06,0.77,1.53,0.77,0.77,93.45,0.77,1.53,5.36,55.15,0,0.77,13.79,0,0.77,0.77,0,0,0,0.77,0,4.6,1.53,3.83,1.53,2.3,0
120,0,0,0,0,35.28,35.28,25.48,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,58.79,0,3.92,1.96,27.44,1.96,1.96,9.8,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0
