stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,5.26,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,115.66,2.63,0,0,55.2,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,40.91,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,201.41,12.59,0,0,88.12,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,7,3,1,0,0,3,0,0,0,1,0,0,0,0,4,0,0,9,24,0,0,1,2,0,8,0,3,12,0,0,0,0
 24-34,0,0,0,0,5.75,0,7.39,0,0.82,2.46,0.82,0,0,0.82,0,0,2.46,0.82,6.57,0,0,0.82,59.1,0.82,0,0.82,0,0.82,0,0,0.82,15.6,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,7.25,0,0,4.83,0,0,0,0,0,0,1.61,0,9.67,0,0,1.61,43.51,0.81,0,0,0,0.81,0,0,0,13.7,0,0,0,1.61
 48-58,0,0,0,0,0.57,0,4.59,0,0.57,5.16,0,0,0,0.57,0.57,0,1.15,0,6.89,0.57,0,1.15,11.48,1.15,0,1.15,0,0.57,0,0,0,4.02,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,10.8,0,0,8.83,2.94,0,0,0,0,0,0.98,0.98,4.91,0,0.98,0.98,15.7,0.98,0,0.98,0,0,0,0,0,10.8,0,0.98,0,0
 72-82,0,0,0,0,1.96,2.94,8.83,0,0,19.63,5.89,0,0.98,0.98,1.96,1.96,3.93,0,10.8,0.98,0.98,2.94,17.67,0,0.98,0.98,0,0,0,0,0,2.94,0,0.98,0.98,0
 84-94,0,0,0,0,2.12,5.31,10.62,1.06,0,4.25,13.81,0,0,1.06,1.06,0,3.19,2.12,12.74,0,0,0,10.62,0,0,3.19,0,1.06,0,2.12,0,2.12,0,0,0,0
 96-106,0,0,2.19,0,1.09,0,7.65,1.09,0,18.58,20.76,0,1.09,1.09,3.28,1.09,5.46,0,8.74,0,0,4.37,17.49,0,0,5.46,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,4.6,8.43,0,0.77,21.45,11.49,0,0.77,1.53,7.66,0,9.96,0.77,9.19,0,0,1.53,15.32,0,0,3.06,0,0.77,0,0.77,0,1.53,0.77,0,0,3.83
120,0,0,0,0,9.8,1.96,3.92,1.96,0,5.88,13.72,0,1.96,0,3.92,0,5.88,0,5.88,0,0,0,23.52,0,1.96,1.96,0,1.96,0,0,0,3.92,0,0,0,0
