stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,8.03,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,24.54,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,2.94,0,0.98,0,3.93,0.98,0,0,0,43.19,0,0.98,0,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,1.06,2.12,0,0,0,3.19,0,0,0,0,95.58,0,0,1.06,0
 96-106,0,0,1.09,0,2.19,0,1.09,0,1.09,1.09,1.09,0,1.09,6.56,0,0,1.09,0,102.73,0,1.09,0,1.09
108-118,0,1.53,0.77,0.77,2.3,0,0,0.77,0,3.83,0,0,0,5.36,0,0,1.53,0,111.83,0.77,0.77,0.77,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,70.55,0,0,0,0
