stage,axial,blastomeres,epidermis,erythrocytes,eye,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,vascular.smooth.muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,16,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,13.95,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,22.56,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,15.49,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,32.39,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,17.67,0,0.98,0,0.98,0,1.96,0.98,0
 84-94,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,56.83,0,4.37,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0.77,0,39.83,0.77,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,27.44,0,0,0,0,0,1.96,0,0
