stage,blastomeres,erythrocytes,eye,heart,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,3
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,2.46,0,9.85
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,6.45
 48-58,0,0,0,0.57,0,0,0,1.15,0,0,0,0,10.9
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,9.82
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,23.56
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,12.74
 96-106,0,0,0,0,2.19,1.09,0,0,1.09,0,0,0,13.11
108-118,0,0,0,0,0.77,0,0,0.77,0,0,0,0,6.13
120,0,0,0,0,0,0,0,0,0,0,0,0,11.76
