stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,5271.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,312.61,3463.24,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,91.94,6.13,0,0,42.91,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,34.17,0,60.46,0,0,141.95,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,1238.12,44.69,0,0,439,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,28.32,0,0,94.41,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,805.62,28.32,0,0,226.58,0,15.73,3.15,15.73,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,23,83,13,28,0,0,9,8,0,0,0,3,0,0,0,26,0,0,23,411,15,4,10,18,0,4,32,6,9,78,166,0,0,3,0,0
 24-34,0.82,0,1.64,5.75,22.16,3.28,22.98,3.28,0.82,9.03,0.82,0,1.64,1.64,0.82,0,3.28,0.82,27.09,1.64,0,24.63,459.68,1.64,4.93,13.13,0,0,0,0.82,1.64,0,6.57,112.46,0,0,4.93,0,0
 36-46,0,0,0,0,11.28,0,41.09,0,3.22,18.53,0.81,0,0.81,2.42,0.81,0,0.81,0.81,40.28,0,0.81,4.83,581.69,0.81,0,1.61,0,2.42,0,0,0.81,0,0,127.3,0,0,2.42,0,0.81
 48-58,0,0,0,0,10.33,0,114.19,2.3,5.74,39.59,0.57,0,0.57,3.44,0,0,1.72,0.57,48.2,1.15,0,9.75,569.21,3.44,0.57,7.46,0,1.15,0,0,0.57,0,0,117.63,0,0,1.72,0,0
 60-70,0,0,0.98,0,8.83,0,306.23,0.98,8.83,56.93,0,0,0.98,6.87,0,0,0.98,0,46.13,0,1.96,8.83,752.83,0.98,2.94,6.87,0,0.98,0,0,0,0,0,88.34,0,1.96,5.89,0.98,0
 72-82,0,0,0,0,10.8,0.98,219.89,0.98,9.82,61.84,0,0,2.94,10.8,1.96,0.98,1.96,0.98,82.46,0.98,0.98,7.85,507.52,2.94,0,4.91,0,1.96,0,0,0,0,0,41.23,0,0,3.93,0,0
 84-94,1.06,0,3.19,0,12.74,0,142.31,4.25,5.31,31.86,2.12,0,0,20.18,2.12,2.12,1.06,1.06,55.23,2.12,0,5.31,207.1,1.06,2.12,10.62,0,1.06,0,0,2.12,0,0,25.49,2.12,0,5.31,1.06,2.12
 96-106,0,0,2.19,0,21.86,0,112.56,10.93,6.56,33.88,2.19,0,3.28,21.86,0,2.19,1.09,2.19,50.27,0,4.37,2.19,206.55,5.46,1.09,9.84,0,0,0,0,1.09,0,0,10.93,0,0,5.46,2.19,0
108-118,0,0,0,0.77,19.15,1.53,94.21,8.43,3.06,32.17,2.3,0,0,22.98,0.77,3.06,0.77,0,42.89,1.53,4.6,4.6,215.24,3.83,3.06,4.6,0,0.77,0.77,0,0.77,0,0,8.43,2.3,0.77,6.89,2.3,1.53
120,0,0,1.96,0,19.6,1.96,62.71,1.96,3.92,45.08,1.96,0,0,19.6,0,0,0,0,21.56,0,0,5.88,203.82,3.92,0,9.8,0,1.96,0,0,1.96,0,0,7.84,0,0,5.88,0,1.96
