stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2
 24-34,0,0,0.82,0,0,18.88,0,0,0,0,0,0.82,0,0,30.37,0,0,6.57,2.46,0,0,0.82,18.06,0,0,0,0,3.28,0,0,0,1.64,0,0,0.82,0,2.46
 36-46,0,0,0.81,0,0,12.89,0.81,0,0,1.61,0,0.81,0.81,0,56.4,0,0,0.81,5.64,0,0,0,39.48,0.81,0,0,0,2.42,0,0,0,4.83,0,0,0.81,0,0.81
 48-58,0,0,1.72,1.15,0,34.43,0.57,0.57,0.57,5.16,0,0,0,0,82.63,0,0,1.15,10.9,0,0,3.44,78.04,1.15,0,1.15,0,2.3,0,0.57,1.72,17.21,0,0,0,0,5.16
 60-70,0,0,2.94,0.98,0,58.89,0.98,2.94,0.98,6.87,0,0,0,0,141.34,0.98,0,0.98,14.72,0,0,4.91,78.52,0,0.98,3.93,0,3.93,0,0,0,6.87,0,1.96,0.98,0,1.96
 72-82,0,0,0,3.93,0,35.34,1.96,2.94,1.96,8.83,1.96,0,0,0,150.19,0,1.96,0.98,17.67,0,0,1.96,76.57,0.98,0.98,1.96,0,2.94,0,0,0,7.85,0,0,5.89,1.96,2.94
 84-94,0,0,0,5.31,0,25.49,0,1.06,1.06,3.19,0,0,0,1.06,179.48,1.06,0,2.12,5.31,2.12,0,2.12,32.92,0,1.06,2.12,0,9.56,0,0,0,3.19,2.12,0,2.12,0,3.19
 96-106,2.19,1.09,1.09,5.46,2.19,27.32,1.09,0,0,8.74,4.37,0,4.37,0,163.93,2.19,1.09,0,22.95,1.09,1.09,1.09,51.36,3.28,1.09,0,0,15.3,0,1.09,0,2.19,0,0,4.37,0,4.37
108-118,0,0,7.66,2.3,0,28.34,0,0.77,0,5.36,1.53,0,0,1.53,229.02,0,3.06,0.77,18.38,0,0,2.3,36,0,0,1.53,0,6.13,0,0.77,0,0.77,0,0,1.53,1.53,2.3
120,0,0,3.92,5.88,0,15.68,0,0,0,1.96,0,0,0,0,160.7,0,0,0,1.96,0,0,1.96,27.44,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92
