stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,13,2,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0
 24-34,0,0,0,6.57,9.85,0,0,0,0,0,3.28,0,0,3.28,0,4.93,0,2.46,4.1,0,0,0,0,0,0,0,1.64,0.82
 36-46,0,0,0,1.61,8.86,0,0,0,0,0,3.22,0,0,1.61,0.81,4.03,0,0,1.61,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,0.57,0,0,0,0,0,0.57,0,2.87,0,0,2.3,0,0,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,11.78,0,0,3.93,0.98,0,0,0,0.98,4.91,0,14.72,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,10.8,0,0,3.93,1.96,0,0,0,0,5.89,0,10.8,0,0,3.93,0,1.96,0,0,2.94,0,0,0.98,0
 84-94,0,0,0,0,12.74,0,2.12,3.19,0,1.06,0,0,1.06,3.19,0,6.37,0,0,2.12,0,2.12,0,0,7.43,0,0,0,0
 96-106,0,0,0,0,43.71,1.09,1.09,7.65,2.19,0,2.19,0,3.28,4.37,0,9.84,1.09,0,4.37,1.09,5.46,7.65,0,7.65,0,0,0,1.09
108-118,0,0,0,0,48.26,0,1.53,22.98,0.77,0,0,0.77,1.53,3.06,0,14.55,0.77,0,4.6,0,0.77,9.19,0,5.36,0,0.77,0,0
120,0,0,0,0,33.32,0,1.96,5.88,0,0,0,3.92,0,0,0,13.72,0,0,3.92,0,1.96,1.96,0,7.84,0,0,0,0
