stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0.57,0,0,0
 60-70,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0
 72-82,0,27.49,0,0,0.98,0,0.98,1.96,3.93,0.98,0,0,0,0,0,1.96,0,0,0.98,0.98,1.96,0
 84-94,0,73.28,0,0,1.06,1.06,0,0,6.37,0,0,1.06,0,0,0,1.06,0,0,10.62,0,9.56,1.06
 96-106,0,217.48,0,0,5.46,1.09,0,3.28,32.79,0,0,5.46,2.19,1.09,0,9.84,1.09,0,49.18,0,38.25,0
108-118,0,254.3,3.06,0.77,2.3,0.77,0,1.53,56.68,0,0,7.66,4.6,1.53,0,3.06,0,0.77,50.55,0,48.26,0
120,0,205.78,0,0,0,0,0,0,13.72,0,1.96,1.96,0,1.96,1.96,5.88,0,0,37.24,0,13.72,0
