stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,37,14,0,23,0,0,0,6,5,2,0,0,1,1,0,0,0,21,0,0,19,228,1,2,3,4,0,1,2,54,2,11,58,68,0,0,1,0,1
 24-34,0,0,3.28,16.42,7.39,0,86.19,0,0.82,1.64,10.67,3.28,0,0,3.28,13.95,0,1.64,1.64,4.93,38.58,3.28,0,20.52,381.7,2.46,0.82,6.57,0,0,9.03,0,0.82,4.1,9.03,24.63,82.91,0,0,5.75,0,2.46
 36-46,0,0,0,5.64,2.42,0,74.93,3.22,0.81,0,14.5,0,0,0.81,0.81,5.64,1.61,0,2.42,0.81,47.53,0.81,0,11.28,339.19,1.61,0,3.22,0,0,6.45,0,0.81,4.83,8.06,1.61,54.79,0,0,4.03,0,0.81
 48-58,0,0,0,5.74,0.57,0,154.35,0.57,1.15,3.44,36.72,3.44,0.57,2.87,1.72,4.02,2.87,0,2.87,2.87,61.97,0.57,2.3,11.48,311.58,0,0.57,2.3,0,0,6.31,0,0,0.57,6.31,0,65.41,0,0,3.44,0,0.57
 60-70,0,0,0,7.85,0.98,0,202.19,1.96,1.96,1.96,40.24,4.91,0.98,0.98,1.96,2.94,3.93,0.98,1.96,0.98,56.93,0.98,1.96,6.87,334.7,0,2.94,0,0,0,5.89,0,0,2.94,7.85,0,50.06,0,0,3.93,0.98,1.96
 72-82,0,0,0,9.82,1.96,2.94,236.58,1.96,0.98,3.93,73.62,4.91,0.98,0,2.94,3.93,0.98,1.96,3.93,0,77.55,2.94,3.93,7.85,267.01,0.98,5.89,3.93,0,0,4.91,0,0,0.98,4.91,0,26.5,0.98,4.91,10.8,2.94,1.96
 84-94,0,0,0,18.05,1.06,1.06,166.74,1.06,0,4.25,30.8,13.81,0,2.12,6.37,11.68,4.25,1.06,7.43,1.06,50.98,0,2.12,8.5,132.75,1.06,1.06,10.62,0,2.12,15.93,0,0,7.43,0,0,22.3,1.06,4.25,11.68,3.19,2.12
 96-106,0,0,0,14.21,1.09,3.28,102.73,2.19,1.09,2.19,31.69,10.93,0,3.28,7.65,12.02,2.19,2.19,4.37,0,60.11,2.19,0,9.84,134.42,1.09,5.46,12.02,0,0,10.93,0,0,1.09,4.37,0,7.65,0,1.09,5.46,2.19,2.19
108-118,0,0.77,0.77,16.85,3.06,8.43,107.23,1.53,1.53,1.53,30.64,9.19,0,0.77,6.13,6.89,5.36,0.77,7.66,0,53.62,2.3,1.53,9.19,162.38,0,3.83,4.6,0,1.53,12.26,0,0,3.06,3.83,0,9.96,1.53,0,6.13,2.3,0.77
120,1.96,0,0,35.28,7.84,1.96,88.19,7.84,5.88,1.96,45.08,15.68,0,5.88,13.72,9.8,7.84,3.92,3.92,0,47.03,1.96,5.88,29.4,188.14,1.96,5.88,11.76,0,1.96,23.52,0,0,1.96,3.92,0,3.92,0,3.92,5.88,3.92,1.96
