stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,4,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1186,0,0,1,1,1,3,0,0,1,132,0,0,2,0
 24-34,0,0,4.1,0.82,0,22.16,0,0,0.82,5.75,0,0,0,0,0,0,0,3.28,0,0,1048.23,0,0.82,0.82,0,0.82,0,0.82,0.82,0,183.05,0,0,7.39,0
 36-46,0,0,0,0,0,8.06,0,0,0,14.5,0,0,0.81,0,0,0,0,3.22,0,0,429.42,0,0,0,0,0.81,0,0,0,0,166.77,0,0,1.61,0
 48-58,0,0,0,0,0,8.03,0,0,0,30.41,0,0,0,0,0,0,0,1.15,0,0,79.76,0,0,0,0,0,0,0,0,0,90.66,0,0,2.3,0
 60-70,0,0,0,0,0,1.96,0,0,0,27.48,0,0.98,0,0,0,0,0,1.96,0,0,18.65,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0,49.08,0,0,0.98,0,0.98,0,0,2.94,0,0.98,7.85,0,0,0,0,0.98,0,0,0,0,4.91,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,0,5.31,0,0,0,48.85,0,1.06,0,1.06,0,0,0,3.19,0,0,8.5,0,0,0,0,0,0,0,0,0,8.5,0,1.06,0,0
 96-106,0,0,7.65,1.09,0,16.39,0,2.19,0,48.09,2.19,0,1.09,1.09,0,0,0,10.93,1.09,1.09,10.93,0,0,0,0,6.56,0,0,0,0,0,0,0,2.19,0
108-118,0,0,2.3,1.53,1.53,11.49,0.77,0,0,50.55,0,0,0.77,0,0,0.77,0.77,7.66,0.77,1.53,18.38,0,0,0.77,0,3.06,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,1.96,0,13.72,0,0,1.96,60.75,0,0,0,1.96,0,0,0,7.84,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0
