stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,4,0,2,7,1,0
 24-34,0.82,1.64,0,9.85,0,0,0,1.64,0,0,0.82,0,0,0,0,8.21,0,0,0.82,104.25,0.82,0.82,0,0,4.1,0,0,0.82,22.16,0,0
 36-46,0,0.81,0,24.17,0,0,0.81,2.42,0,0,0,0,0,0,0,4.03,0,0.81,0,87.01,0,0.81,0,0,0,0,0,0,12.89,0.81,0
 48-58,0,1.15,0,35,0,0,0,4.59,0,0,0.57,0,0.57,0,0,9.18,0.57,0.57,0.57,68.86,0,0,0,0,0,0,0,0,15.49,1.15,0
 60-70,0,0,0,60.85,0.98,0,0,5.89,0,0.98,0,0,0,0,0,7.85,0,0,1.96,70.67,0,0,0,0,0,0,0,0,10.8,0.98,0
 72-82,0,0,0.98,37.3,0,0,0.98,8.83,0,0,0,0,0,0,0,7.85,0,0.98,2.94,66.75,0,0,0,0,0,0,0,0,2.94,0.98,0.98
 84-94,0,1.06,0,27.61,0,0,1.06,5.31,0,0,0,1.06,0,0,0,12.74,0,0,1.06,31.86,1.06,0,1.06,0,0,0,1.06,0,5.31,0,0
 96-106,0,3.28,0,17.49,0,1.09,0,3.28,1.09,0,1.09,0,0,1.09,0,8.74,0,0,1.09,25.14,0,0,0,1.09,3.28,0,0,0,3.28,0,0
108-118,0,1.53,0.77,6.13,0,1.53,0.77,6.89,0,0,1.53,0,0,0,0.77,3.83,0,0,0.77,21.45,0,0.77,0,0,1.53,0,0,0,0.77,0,0
120,0,1.96,0,9.8,0,1.96,0,5.88,0,0,0,0,0,0,0,1.96,0,0,1.96,25.48,1.96,0,0,0,0,0,0,0,1.96,0,0
