stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,4,0,0,1,126,2,0,6,2,0,1,20,0,20,0,0,0
 24-34,0,0,0.82,0,11.49,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0.82,212.6,0,0.82,0.82,0,0,0,1.64,0.82,50.89,0,0,0
 36-46,0,0,2.42,0,6.45,0,0,4.83,0,0,0,0,0,0,0,0,4.03,0,0,0.81,343.22,0.81,0.81,0.81,0,0.81,0,0,0,79.76,0.81,0,0
 48-58,0,0,2.3,0,20.08,0,0.57,5.74,0,0,0,0,0.57,0,0.57,0.57,4.59,0,0.57,0,442.98,0.57,0,0.57,0,0,0,0,0,107.3,0.57,0,1.15
 60-70,0,0,2.94,0,25.52,0,0,6.87,0,0,0.98,0,0,0,0,0,25.52,0,0,0.98,586.95,0.98,0,0.98,0,0.98,0,0,0,104.04,0,0,1.96
 72-82,0,0,1.96,0,64.79,0,0.98,13.74,0,0,0.98,0,0,0,0,0,31.41,0,0,0,442.73,0,0,2.94,0,0,0,2.94,0,58.9,0,0,1.96
 84-94,0,0,4.25,0,44.61,2.12,0,9.56,1.06,0,0,0,0,0,0,0,18.05,0,0,0,206.04,0,0,2.12,0,0,0,1.06,0,32.92,0,1.06,1.06
 96-106,0,0,5.46,2.19,29.51,0,1.09,8.74,1.09,0,0,1.09,0,0,0,0,9.84,0,1.09,1.09,137.7,0,0,2.19,0,0,0,0,0,10.93,0,0,0
108-118,0,0,1.53,0,10.72,0,0,3.06,0,0.77,0.77,0.77,0,0,0,0,12.26,0,0,0,203.75,0,0,1.53,0,0.77,0,0.77,0,3.83,0,0,0
120,0,0,0,0,13.72,0,0,11.76,0,0,0,0,0,3.92,0,0,9.8,1.96,0,1.96,166.58,0,0,1.96,0,0,0,1.96,0,3.92,0,0,0
