stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,4.83,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,2.3,0,4.02,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0,0,4.91,0,7.85,0,0
 72-82,0,0.98,0,0,0.98,0,0,3.93,0,0,0.98,0,0,3.93,0,27.49,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,2.12,0,0,1.06,0,48.85,0,0
 96-106,0,2.19,0,0,0,0,1.09,1.09,1.09,0,2.19,0,0,2.19,0,61.2,0,1.09
108-118,0,0,0,0,1.53,0,0,0,0.77,0,1.53,0,0,6.13,0,45.19,0.77,0
120,0,0,0,0,3.92,0,0,0,1.96,0,1.96,0,0,3.92,0,54.87,0,0
