stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,4.93,9.85,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,5.64,7.25,0,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,7.46,11.48,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0,0,8.83,11.78,0,0
 72-82,0,0,0,0,8.83,0,3.93,7.85,0,0,0,0,0,0.98,0.98,0.98,6.87,0.98,0,0.98,0,19.63,10.8,0,0
 84-94,0,0,1.06,0,4.25,0,4.25,15.93,0,0,0,0,0,2.12,0,0,3.19,2.12,0,1.06,1.06,42.48,5.31,0,0
 96-106,0,1.09,1.09,0,14.21,1.09,3.28,54.64,0,1.09,1.09,0,1.09,0,1.09,0,6.56,0,1.09,3.28,0,48.09,10.93,1.09,1.09
108-118,0,0.77,0.77,0.77,8.43,0,3.83,84.26,0.77,0,0,0,0,0.77,2.3,0,13.02,0,0,0,0,38.3,3.83,0,0
120,0,0,0,0,17.64,0,1.96,58.79,0,0,0,0,0,1.96,0,0,11.76,0,0,0,0,29.4,1.96,0,0
