stage,axial,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,5.89,0.98,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,3.28,0,2.19,0,224.03,6.56,0,0,0,30.6,1.09,0,0,0,0,1.09,0
108-118,0,3.83,0,3.06,3.83,0.77,0,1.53,872.43,4.6,0,0.77,0,30.64,0,0,1.53,0.77,0.77,0.77,0.77
120,0,0,0,1.96,0,3.92,0,3.92,460.55,0,0,0,1.96,19.6,0,0,3.92,0,0,0,0
