stage,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0.81,0.81,0,0,0,0,0,6.45,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,0,0,0,0,3.44,0,0,0,0.57,0
 60-70,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,0.98,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,1.06,0,0,0,0,0,2.12,0,2.12,0,0,0,0,1.06
 96-106,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0.77,0,0,0.77,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
