stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0.57,0,0,0,0,0.57,0,0,0,0,1.15,0,0.57,0,0.57,0,0
 60-70,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0.98,0,0.98,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,1.06,1.06,0,1.06,0,8.5,0,0,0,0
 96-106,1.09,0,1.09,1.09,0,0,1.09,0,0,1.09,2.19,0,7.65,0,0,0,1.09
108-118,0.77,0.77,3.06,0.77,1.53,0,0,0.77,0,0,1.53,0.77,7.66,0,0,0.77,0
120,1.96,0,0,0,0,3.92,0,0,0,0,0,0,5.88,0,0,0,0
