stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,76.23,0,7.89,0,0,0,0,0
 10-12,3.15,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,94.41,0,28.32,0,3.15,0,0,0
 14-21,0,0,2,1,1,0,0,0,0,0,1,0,0,1,9,0,0,0,0,1,2,0
 24-34,0,0,0.82,0,4.1,0,0,0,0,0,3.28,0,0,0.82,21.34,0,0,0.82,0,0,0.82,0
 36-46,0,0,0.81,0,1.61,0,2.42,0,0,0,0.81,0,0,1.61,15.31,0,0,0,0,0,2.42,1.61
 48-58,0,0,0,0,4.02,0,0.57,0,0,0.57,1.72,0,0,0.57,5.74,0.57,0,0,0,0,1.15,0
 60-70,0,0,0.98,0,0.98,0,1.96,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,2.94,0,0,0,3.93,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,2.12,0,1.06,2.12,3.19,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,2.19,0,0,0,3.28,0,0,2.19,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0.77,0,0.77,0,0.77,0,0,0,0.77,0.77,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96
