stage,blastomeres,epidermis,eye,glial,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,5.75,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,13.7,0,0.81,0,0,0,1.61,0
 48-58,0,0,2.3,0.57,0,0,0.57,0,0.57,0.57,16.64,0,0,0,0,0,2.3,0
 60-70,0,0,6.87,0.98,0,0,0,0,1.96,0,21.59,0,0,0,0,0,3.93,0
 72-82,0,0,6.87,0,0,0,0,0,1.96,0,28.47,0,0,0,0,0,0.98,0
 84-94,0,0,6.37,1.06,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0
 96-106,0,1.09,6.56,3.28,0,0,0,0,2.19,0,8.74,0,0,0,0,0,0,0
108-118,0,1.53,3.06,0,0,0.77,0,0,0.77,0,3.06,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0
