stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord
 14-21,0,1,0,0,0,0,0,1,0,3,0,1,0,0,2,4
 24-34,0,0,0,0.82,0.82,0,0,0,0,4.1,0.82,0,0,0.82,0,2.46
 36-46,0,0,0,1.61,0,0,0,0,0,5.64,0.81,0,0,0.81,0,0.81
 48-58,0,0,0,2.3,0.57,0,0,0.57,0,17.79,0,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0.98,0,0,1.96,0,16.69,0,0,0,0,0,2.94
 72-82,0.98,0,0,0.98,0.98,0.98,0,0.98,0,15.71,0.98,0,0.98,0,0,0.98
 84-94,0,1.06,0,1.06,0,0,0,1.06,0,8.5,0,0,0,2.12,0,2.12
 96-106,0,1.09,1.09,2.19,1.09,1.09,1.09,1.09,1.09,4.37,0,0,0,3.28,0,0
108-118,0,0,0.77,1.53,0.77,0,0,0,0,5.36,0,0,0,1.53,0,0
120,0,0,0,1.96,0,0,0,0,0,9.8,0,0,0,3.92,0,1.96
