stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,13,1,0,0,0,2,1,0,1,2,6,0,0,1,0,0
 24-34,0,6.57,0,3.28,0,0,0,1.64,0,0,0,0,0,0,3.28,0,0,3.28,41.86,0,1.64,1.64,0,2.46,0,0,0,1.64,14.78,0,0,3.28,0,0
 36-46,0,1.61,0,2.42,0.81,0,7.25,1.61,2.42,0,0,0,0,1.61,6.45,0,0,2.42,136.96,5.64,5.64,2.42,0,12.09,0,0.81,0,0,43.51,0,0,4.03,0,1.61
 48-58,0,0,0,1.72,0,0,1.15,0,0,0,0,0.57,0,0,2.87,0,0,0.57,36.72,0,0,0.57,0,1.72,0,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,12.76,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0,9.82,0,0,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0,0
 84-94,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,0,1.09,1.09,0,1.09,1.09,0,0,0,1.09,0,0,1.09,5.46,0,0,0,0,10.93,0,0,0,0,1.09,0,0,0,0,0
108-118,0,6.13,0.77,9.96,1.53,0,3.83,4.6,0,0,1.53,0,0.77,0,4.6,0.77,2.3,0,13.02,0,0,0,0,22.98,0,0.77,0,0,1.53,2.3,0,2.3,0.77,0
120,0,1.96,1.96,7.84,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0
