stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,74.7,0,0,0.82,0,0,0,15.6,0,0,1.64,0,0
 36-46,0.81,0,0,13.7,0,0,2.42,0,0,0,0,0.81,1.61,0.81,0.81,248.15,0.81,0.81,0,0,0,0,31.42,0,0,0,0,0
 48-58,0,1.15,0,82.05,0,0,5.74,0,0,0,0,0,2.3,1.15,1.15,314.45,0,0.57,0,0,0.57,0,40.17,0,0,0,0,0.57
 60-70,0,0.98,0,318.01,0,0,8.83,0,0,0.98,0.98,0,0.98,0,0,489.78,0,0,0.98,0,0,0,41.22,0,0.98,0,0,0
 72-82,0.98,3.93,0.98,207.13,0,0.98,6.87,0,0,0,0,0,5.89,0,0.98,322.97,0,0,1.96,0,0,0,14.72,0,0,0,0,0
 84-94,0,2.12,0,185.86,1.06,0,9.56,1.06,1.06,0,0,0,3.19,0,2.12,176.3,0,1.06,1.06,0,0,0,13.81,0,0,1.06,1.06,0
 96-106,0,0,1.09,110.38,0,1.09,7.65,0,0,0,0,0,1.09,1.09,0,116.93,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0,66.64,0.77,0,1.53,0,1.53,0,0.77,0,3.06,0,0.77,124.09,0,0,0,0,0,0.77,6.13,0,0.77,0.77,0,0
120,0,0,0,43.12,0,0,1.96,0,0,0,0,0,1.96,0,1.96,146.98,0,0,0,0,0,0,1.96,0,0,0,0,0
