stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,14,79,16,0,32,0,0,0,9,3,5,3,0,3,0,0,3,1,28,0,0,22,446,11,1,6,3,0,3,8,32,6,3,44,182,0,0,3,0,0
 24-34,0.82,1.64,3.28,22.98,3.28,0,48.43,0,1.64,0,11.49,3.28,0,0.82,0,2.46,0.82,3.28,5.75,0,49.25,0,0,17.24,566.39,6.57,7.39,8.21,0,0,11.49,0,0,7.39,0.82,7.39,129.7,0,0,15.6,0,0.82
 36-46,0,0.81,0,10.47,0.81,0,65.26,0,2.42,1.61,24.98,1.61,0,0.81,0,0,0.81,3.22,0,0,33.84,0,0.81,13.7,461.65,3.22,9.67,4.03,0,0,10.47,1.61,0.81,5.64,0,0,119.24,0,0,3.22,0,0.81
 48-58,0,0,0,5.74,0.57,0,82.63,0,1.15,4.02,31.56,1.72,0.57,1.72,0.57,0,0.57,1.15,1.15,1.15,56.81,0,1.15,12.62,258.21,1.72,3.44,4.59,0,0,5.16,0.57,0,0,0.57,0,76.89,0,0,2.87,0,1.72
 60-70,0,0,0,8.83,0.98,0,117.78,2.94,1.96,3.93,41.22,1.96,0,0.98,4.91,0.98,0.98,0.98,0.98,0.98,74.6,0,3.93,5.89,302.31,0.98,5.89,0.98,0,0,9.82,0,0,1.96,0,0,68.71,0.98,0,4.91,0,1.96
 72-82,0,3.93,0,8.83,3.93,0,93.26,0.98,3.93,5.89,36.32,2.94,0,2.94,3.93,0.98,0.98,2.94,0.98,0,94.24,0,1.96,8.83,232.65,1.96,3.93,5.89,0,0,11.78,0.98,0,1.96,0,0,39.27,1.96,0.98,8.83,0.98,0.98
 84-94,0,1.06,0,12.74,9.56,0,59.47,0,4.25,2.12,29.74,7.43,1.06,1.06,4.25,3.19,0,0,0,0,45.67,1.06,1.06,3.19,121.07,1.06,5.31,4.25,0,0,54.16,0,0,5.31,0,0,23.36,1.06,3.19,11.68,0,3.19
 96-106,0,2.19,0,21.86,4.37,0,60.11,0,3.28,5.46,41.53,6.56,1.09,3.28,6.56,2.19,1.09,2.19,7.65,0,59.01,2.19,1.09,8.74,125.68,4.37,5.46,13.11,0,0,37.16,0,0,2.19,2.19,0,14.21,2.19,1.09,5.46,3.28,3.28
108-118,0,1.53,0,26.81,6.89,1.53,47.49,0,4.6,1.53,19.15,3.83,0,0.77,6.89,3.06,4.6,3.83,3.83,1.53,54.38,0,4.6,12.26,168.51,0.77,0.77,6.13,0,2.3,34.47,1.53,0,1.53,0.77,0,6.13,1.53,2.3,5.36,2.3,1.53
120,0,3.92,0,27.44,7.84,0,41.16,1.96,3.92,1.96,19.6,3.92,0,1.96,11.76,1.96,1.96,1.96,0,0,33.32,0,1.96,1.96,117.59,5.88,1.96,15.68,0,1.96,48.99,0,0,3.92,0,0,9.8,0,1.96,1.96,0,1.96
