stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,26.29,5.26,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,25.18,0,0,18.88,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,1,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,2.46,0,0,0.82,0.82,0,7.39,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,0,0.57,0,0,0,0.57,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0.98,0,0,0,0,0,0,0,6.87,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0,0,0,55.23,0,1.06
 96-106,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,1.09,1.09,8.74,0,0,0,1.09,1.09,0,0,0,0,137.7,0,0
108-118,0,0,2.3,0,0.77,0,0,0.77,0,0.77,0,2.3,0.77,0,3.06,0,0,0,0,0,0,0,0,0,161.62,0.77,0.77
120,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,31.36,0,0
