stage,axial,blastomeres,endocrine.pancreas,eye,fin.epithelia,glial,mesenchyme,neural,olfactory,otic,periderm,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,1.72,0,0,0.57
 60-70,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,1.09,1.09,1.09,1.09,0,0,5.46,0,1.09,0
108-118,0,0,0,0,0,0,0,0,3.83,0.77,0,0
