stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,pericytes,periderm,pronephros,somites,spinal_cord
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,2.3,0,0,2.3,0,0,2.87,0.57,0,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0
 72-82,0,4.91,0,0,1.96,0,0.98,8.83,1.96,0,0,2.94,1.96,0,3.93,0,0.98,1.96,0,0
 84-94,0,1.06,0,0,1.06,0,0,16.99,8.5,0,0,1.06,1.06,0,1.06,0,0,6.37,0,0
 96-106,0,4.37,1.09,0,4.37,0,2.19,71.04,5.46,0,0,1.09,3.28,1.09,8.74,0,2.19,7.65,0,0
108-118,0,1.53,0,0.77,3.06,0,0.77,158.55,8.43,0,0.77,1.53,1.53,0,13.02,0,0.77,8.43,0,0
120,0,1.96,0,0,1.96,1.96,0,101.91,5.88,0,0,3.92,1.96,0,7.84,0,7.84,11.76,0,0
