stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,12.09,0,0,0,0,0,0,0
 48-58,0,0,0,5.74,0,0,0,0,0,0,0,0.57,0,0,34.43,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,16.69,0,0,0.98,0,0.98,0,0,0,0.98,0,49.08,0,0,0,0,0,0,0.98
 72-82,0,0.98,1.96,63.81,0,0.98,7.85,0.98,0,0.98,0,2.94,0,0,58.9,0,0.98,0,0,1.96,0,0.98
 84-94,0,1.06,0,43.54,0,0,3.19,0,0,0,0,4.25,0,0,29.74,0,0,0,0,1.06,2.12,1.06
 96-106,0,2.19,0,44.81,1.09,0,0,0,0,0,0,6.56,1.09,1.09,29.51,0,0,0,0,0,0,1.09
108-118,0,0.77,0,13.02,0,0,0.77,0,0,0,0.77,3.06,0,0,20.68,0.77,0,0,0,0,0,0
120,0,0,1.96,7.84,0,0,0,0,1.96,0,0,1.96,0,0,23.52,0,0,1.96,0,0,0,0
