stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,20,0,0,0,0,0
 24-34,3.28,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,135.44,0,6.57,0,0,48.43,0,0,0,0,0
 36-46,0,0,0,0,22.56,1.61,0,0.81,0,0,0,0,0,0,0.81,0,0,0,333.55,0,12.09,0,0.81,62.04,0,0,0,0,0
 48-58,1.15,0,2.87,0,79.76,0,0,3.44,0,0,0.57,0,0,0,2.87,0,0.57,0,414.86,0.57,5.16,0.57,0,83.78,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,183.54,0,0.98,8.83,0,0,0.98,0,0,0,7.85,0,0,0.98,628.17,0.98,7.85,0,1.96,74.6,0,0,0,0,0
 72-82,3.93,0,1.96,0,202.22,0.98,0.98,15.71,1.96,0,0.98,0,0,0.98,10.8,0,0,0,488.87,0,9.82,0.98,1.96,47.12,0.98,0.98,0.98,0.98,0.98
 84-94,3.19,0,1.06,0,123.2,0,1.06,12.74,1.06,0,1.06,0,3.19,0,5.31,0,0,0,276.13,0,2.12,3.19,0,29.74,0,0,1.06,0,0
 96-106,0,0,2.19,2.19,83.06,0,1.09,13.11,1.09,0,0,1.09,1.09,0,9.84,0,0,0,213.11,0,3.28,1.09,1.09,8.74,1.09,0,1.09,0,0
108-118,0,0.77,2.3,0,58.98,0.77,0,7.66,0.77,0,0,0,0,0,2.3,0,0.77,0,216,0.77,3.06,1.53,2.3,6.89,1.53,0,0.77,0,0.77
120,1.96,0,5.88,0,60.75,1.96,0,3.92,1.96,0,3.92,0,0,0,5.88,1.96,0,0,215.58,0,3.92,0,0,7.84,0,0,0,0,0
