stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,21.03,0,0,42.06,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,249.73,2.63,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,3,0,0,1,0,0,0,0,1,0,0,5,0,0,1,34,2,0,0,0,0,0,0,1,0,0,2,11,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,9.03,0,0,0.82,0,0,0,0,0.82,0,0,7.39,0,0,3.28,125.59,0,0.82,2.46,0,0,4.1,0,0,0,0.82,0.82,29.55,0,1.64,0,0
 36-46,0,0,0,0,0,0,29.81,0,0,7.25,0,0,0,0,0,0,0,4.83,0,0,3.22,46.73,0,0,0,0,0,0.81,0,0,0,0,0.81,7.25,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,63.12,0,0.57,15.49,0.57,0,0,0.57,0,0.57,0.57,27.54,0,0.57,4.59,119.93,0,3.44,0.57,0,0,0,0,0,0,0,0,34.43,0.57,4.02,0,1.15
 60-70,0,0,0,0,0.98,0,67.73,0,0,19.63,0.98,0.98,0,0,0,1.96,0,26.5,0,2.94,3.93,105.02,0,2.94,1.96,0,0.98,3.93,0,0,0,0,0,21.59,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,15.71,0.98,0.98,2.94,0.98,0,0,0.98,0.98,0,0.98,8.83,0,0,0,36.32,0,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0,2.94,0,0.98
 84-94,0,0,0,0,1.06,0,18.05,0,0,4.25,0,0,0,0,0,0,0,9.56,0,0,1.06,25.49,0,2.12,0,0,0,0,0,0,0,0,0,0,1.06,2.12,1.06,0
 96-106,0,0,1.09,1.09,3.28,0,32.79,0,0,9.84,1.09,0,1.09,2.19,0,0,0,20.76,1.09,1.09,2.19,46.99,2.19,0,2.19,0,0,3.28,1.09,0,1.09,0,0,5.46,0,0,0,0
108-118,0,0,0,0,3.83,0.77,3.06,0,0,4.6,0,0,0,0.77,0,0,0.77,2.3,0,0,1.53,19.15,0,1.53,0,0,0,0.77,0,0,0,0,0,1.53,0,0.77,0,0
120,0,0,0,0,1.96,3.92,27.44,0,1.96,17.64,3.92,0,1.96,0,0,0,1.96,7.84,0,1.96,3.92,47.03,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
