stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,2.46,0,0,2.46,0,1.64,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,0
 72-82,0,0.98,0,0.98,0,0,0,0,0.98,0,1.96,0,0,1.96,0,0,0
 84-94,0,1.06,0,1.06,0,0,1.06,1.06,0,0,1.06,0,3.19,2.12,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,3.28,0,0,0,0,2.19,0,0,0
108-118,0.77,3.06,0,0,1.53,0,2.3,0,6.13,0,0.77,0,0.77,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,3.92,0,1.96,0
