stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.96,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,563.93,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,99.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,84.97,3.15,0,0,18.88,47.2,3.15,0,0,0,0,0,0,0
 14-21,1,0,1,2,42,5,0,1,0,0,0,1,9,16,0,0,50,0,0,3,13,0,8,0,1,14,0,601,1,0,1,5,0,1,0,0
 24-34,0,0,0,0.82,18.06,0.82,0,4.1,0,0.82,0,0,2.46,1.64,0,0,96.86,0,0,3.28,33.66,1.64,41.86,0,6.57,13.95,0,677.21,1.64,0,0.82,4.1,0,8.21,0,0.82
 36-46,0,0,0.81,0,6.45,0,0,4.03,0,5.64,0,1.61,4.03,3.22,2.42,0,35.45,0.81,0,3.22,29.81,1.61,25.78,0.81,9.67,12.89,0,595.39,0,0,0,6.45,0,0.81,0,0.81
 48-58,0,0,0,0,13.2,0.57,0,14.35,0,1.72,0,2.3,1.15,20.08,0,0.57,14.35,0.57,0,3.44,20.08,0.57,19.51,0,4.02,8.61,0,471.09,0,0,0,4.02,0,1.15,0,0.57
 60-70,0,0,0,0,41.22,0,0,7.85,0,4.91,0,1.96,0.98,9.82,0,0,25.52,0.98,0.98,0.98,21.59,0,11.78,0,4.91,4.91,0,514.32,0,0,0,0.98,2.94,0,0,0
 72-82,0,0,0,0,66.75,1.96,0,9.82,0,8.83,0.98,0,8.83,5.89,0,0,64.79,0,0,7.85,38.28,0,23.56,0,5.89,12.76,0,527.15,0,0,0,0.98,1.96,0.98,0,0
 84-94,0,0,0,0,128.51,0,0,1.06,0,20.18,0,1.06,11.68,5.31,0,0,75.4,4.25,0,1.06,31.86,0,9.56,0,15.93,14.87,0,1141.69,2.12,0,0,0,8.5,1.06,0,0
 96-106,0,0,0,0,207.64,0,3.28,19.67,0,36.06,1.09,3.28,22.95,0,1.09,0,127.86,1.09,0,7.65,54.64,1.09,25.14,0,22.95,20.76,0,1381.36,0,1.09,0,1.09,17.49,4.37,0,0
108-118,0,0,0,0,153.96,0,0.77,11.49,0.77,49.02,0,3.06,20.68,0,0,1.53,99.58,0.77,0,3.83,32.94,0.77,19.15,0,13.79,20.68,0,969.71,0,0,0,0,16.09,0,0.77,0.77
120,0,0,0,0,99.95,0,0,5.88,0,35.28,0,0,9.8,0,1.96,1.96,48.99,0,0,1.96,19.6,3.92,13.72,0,19.6,15.68,0,697.68,1.96,0,0,0,9.8,0,0,0
