stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,5,44,0,0,2,1,0,0,0,1,0,2,28,0,0,0,0,0
 24-34,0,0,0.82,0.82,4.93,0,0,0.82,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0.82,12.31,0,0,4.93,55,0,6.57,0,0,0,0.82,0,0,0,0,35.3,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,7.25,0,1.61,4.03,53.98,0,4.03,0.81,0,0,2.42,0,0.81,0,0,27.39,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,0,8.03,0,0,0,6.31,0,0,0,0,0,0,0,0,0,9.18,0,0.57,0.57,60.82,1.15,6.89,0,0,0,0,0,0,0.57,0,26.97,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,14.72,0,0,0,14.72,0,0,0,0,0,0,0,0,0,27.48,0,0.98,1.96,111.89,0.98,9.82,0,0,0,0.98,0,0,0.98,0,8.83,0,0,0,0,0
 72-82,0,0,0,0,3.93,1.96,0,40.25,0.98,0,0.98,21.6,0,0,0,0,0,0.98,1.96,0,0,49.08,0,0,4.91,160.01,0,7.85,4.91,0,0,0,0,0,0,0,9.82,0,1.96,0.98,1.96,0
 84-94,0,0,0,0,8.5,1.06,0,25.49,0,0,1.06,12.74,0,0,1.06,0,1.06,1.06,0,0,0,49.92,0,3.19,1.06,80.71,0,11.68,0,0,0,3.19,0,0,0,0,4.25,0,2.12,4.25,2.12,0
 96-106,0,0,0,0,6.56,0,1.09,17.49,1.09,1.09,0,10.93,1.09,0,2.19,1.09,0,0,1.09,1.09,0,56.83,0,3.28,2.19,108.19,0,7.65,3.28,0,1.09,4.37,0,0,0,0,5.46,1.09,3.28,0,2.19,1.09
108-118,0,0,0,0,1.53,1.53,0,28.34,0,0.77,1.53,16.85,0,0,0,3.06,0.77,0.77,0.77,0,0,55.92,0.77,0.77,0.77,116.43,0,5.36,3.06,0,0.77,0.77,0,0,0,0,2.3,0,0.77,1.53,0.77,0
120,0,0,0,0,7.84,0,0,19.6,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0,37.24,0,1.96,0,84.27,0,9.8,0,0,1.96,0,0,0,0,0,5.88,0,1.96,1.96,1.96,0
