stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,1.64
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,0.57,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,1.96,0,0,0.98,0,0.98,0.98,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,3.19,0,0,1.06,0,0,0,3.19,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,0,2.19,2.19,0,2.19,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,1.53,0.77,0,1.53,0.77,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
