stage,blastomeres,endoderm,eye,gut,immune,mesenchyme,neural,paraxial.mesoderm,presomitic.mesoderm,vascular.smooth.muscle
  5-6,30.65,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0.57,0,6.31,0,0.57,0,0,0
 60-70,0,0,0,0,12.76,0,0,0,0,0.98
 72-82,0,0,0.98,0,15.71,0.98,0.98,0,0,0
 84-94,0,0,0,0,32.92,0,0,0,0,0
 96-106,0,0,0,2.19,42.62,1.09,0,0,0,0
108-118,0,0,0,0,30.64,0.77,0,0,0,0
120,0,0,0,1.96,39.2,0,0,0,0,0
