stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,36.78,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,7.89,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,34.62,0,6.29,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,302.11,25.18,0,0,66.09,0,0,0,97.56,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,71,10,3,0,1,0,157,5,0,1,0,0,0,0,0,0,26,3,124,2,2,21,5,1,0,1,221,2,10,640,0,0,0,0
 24-34,0,0,0,9.03,13.95,0,4.1,0,0,0,130.52,1.64,0,0,0,0,0,4.1,1.64,0,9.85,1.64,117.38,2.46,18.06,4.1,0,0,0,0,96.04,0.82,4.93,335.73,0,0,0.82,0.82
 36-46,0,0,0,0,11.28,0,8.86,0,0,0.81,114.41,4.83,0,0.81,0,0,0,3.22,0.81,0,2.42,1.61,182.08,0.81,15.31,1.61,0,0,0,0,47.53,3.22,0,298.9,0,0,0,0
 48-58,0,0,0,0,6.31,0,5.16,0,0.57,0,99.27,1.15,0,0,0,0,0,3.44,0.57,0,2.3,0.57,76.89,0,17.79,3.44,0,0,0,0,17.21,1.72,0,217.47,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,5.89,0,0,0.98,107.97,0.98,0,0,0,0,0,8.83,0.98,0,1.96,0,43.19,0,19.63,4.91,0,0,0,0,17.67,0,0,104.04,0,0,0,0
 72-82,0,0,0.98,0,0,0,18.65,0,0,0,97.18,7.85,0,0,0.98,0,0,14.72,0,0,0.98,0.98,31.41,0.98,24.54,10.8,0,0,0,0,9.82,0,0,55.95,0.98,0,0,0.98
 84-94,0,0,2.12,3.19,1.06,0,10.62,0,0,2.12,67.97,1.06,0,0,0,0,0,15.93,0,0,4.25,0,23.36,0,38.23,14.87,0,0,1.06,0,28.68,0,0,56.29,0,0,0,0
 96-106,0,0,2.19,3.28,1.09,0,6.56,0,1.09,0,66.66,1.09,0,0,1.09,0,1.09,25.14,1.09,1.09,3.28,2.19,18.58,0,45.9,13.11,0,2.19,0,0,26.23,0,0,42.62,0,0,0,0
108-118,0,0,1.53,2.3,3.06,0.77,5.36,0.77,0.77,0,54.38,0,0,0,0,0,0.77,18.38,0,0,0,0,26.04,0,32.17,13.02,0,0,0,0,25.28,0,0,33.7,1.53,0,0,0
120,0,0,1.96,1.96,3.92,0,1.96,0,0,0,43.12,0,0,0,0,1.96,0,19.6,1.96,0,1.96,0,7.84,0,19.6,27.44,0,1.96,0,0,13.72,0,0,29.4,0,1.96,1.96,0
