stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,255,0,2,0,0,0,0,0,7,0,0,0,0,0,3,0,0,3,13,0,0,0,0,0,0,1,0,1,1,0,0,0,131,0,0
 24-34,0,0,0,0.82,1.64,37.76,0,5.75,0,0,0,0,0,21.34,0,0.82,0,0.82,0,22.98,0,0,3.28,64.85,0,0,0.82,0,0.82,3.28,0,0.82,0.82,3.28,6.57,0,0,540.12,0,0.82
 36-46,0,0,0.81,0,2.42,7.25,0,12.09,0,0,0.81,0.81,0,18.53,0,0.81,0,0,0.81,21.75,0,0,0.81,63.65,0.81,0,0,0,0.81,0.81,0,0,0,0,18.53,0,0,347.24,0,1.61
 48-58,0,0,0,0,1.72,3.44,0,31.56,1.15,0,0.57,2.87,0,34.43,0,0,0,0,0,19.51,0,0,2.87,57.95,0,0.57,0.57,0,0,1.15,0,0,0.57,0,25.82,0,0,278.87,0,0.57
 60-70,0.98,0,0,0,1.96,1.96,0,84.41,0.98,0,0,4.91,0,34.35,1.96,0,1.96,0,0,17.67,0.98,1.96,0.98,60.85,0,0,0,0,3.93,0.98,0,2.94,0,0,14.72,0,0,230.66,0,0.98
 72-82,0,0,0,0,4.91,1.96,0,167.86,0,0.98,1.96,13.74,0.98,51.05,1.96,0,1.96,0,0,21.6,0,1.96,1.96,76.57,0.98,0,0.98,0,2.94,0.98,0,0,0,0,16.69,0,1.96,420.15,1.96,0
 84-94,0,0,0,0,4.25,0,0,105.14,0,1.06,1.06,7.43,4.25,36.11,0,1.06,5.31,0,0,19.12,1.06,4.25,3.19,63.72,0,1.06,1.06,0,4.25,2.12,0,0,0,0,11.68,1.06,1.06,407.82,0,0
 96-106,0,0,0,0,8.74,7.65,0,125.68,2.19,0,0,12.02,1.09,67.76,2.19,0,8.74,1.09,0,20.76,0,1.09,3.28,59.01,0,0,2.19,0,2.19,5.46,0,2.19,0,0,4.37,0,0,481.95,3.28,0
108-118,0.77,0,0.77,0,5.36,1.53,0.77,97.28,0.77,2.3,0.77,3.06,0,28.34,1.53,0.77,7.66,0.77,0,19.92,0.77,0,2.3,64.34,0,0.77,0.77,0,3.06,1.53,0,2.3,0.77,0,0,0,0,366.9,0.77,0
120,0,0,0,0,5.88,7.84,1.96,60.75,0,0,0,1.96,1.96,43.12,0,1.96,5.88,0,0,9.8,1.96,0,0,76.43,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,401.76,0,0
