stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1097.2,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,13.14,0,28.92,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,352.25,21.03,0,123.55,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,6.29,0,59.79,3.15,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,26,0,0,1,1,0,1,1,1,4,16,0,1,0,0
 24-34,0,0,0,0,1.64,0.82,5.75,0,0,0,4.1,0.82,0,0,0,0.82,0,0.82,0,0,11.49,0,0,3.28,59.92,0,1.64,0,1.64,0,0.82,0,0,0,17.24,0,1.64,0,0.82
 36-46,0,0,0,0,1.61,0,2.42,0,0,0.81,1.61,0,0,0,0,0,0,0.81,0,0,9.67,0,0,0.81,13.7,0,0,0,2.42,0,0,0,0,0,9.67,0.81,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,5.16,0.57,0,1.15,1.15,0,0,0,0.57,0,0,0,0,0,9.75,0,0,1.72,8.61,0,1.15,0,0.57,0,0,0,0,0,2.3,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,4.91,0,0,0,0.98,0,0,0,0,0,24.54,0,0,0,9.82,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0.98,0.98
 72-82,0,0,0,0,1.96,4.91,1.96,0,0.98,0,6.87,0,0,0.98,0,0.98,0,0,0,0,14.72,0,0.98,1.96,4.91,0,1.96,0,1.96,0,0,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,0,0,2.12,4.25,4.25,0,0,0,5.31,0,0,0,0,1.06,0,0,0,0,8.5,1.06,0,0,2.12,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,5.46,2.19,0,1.09,0,5.46,2.19,0,0,3.28,0,0,1.09,0,0,12.02,1.09,0,1.09,8.74,0,1.09,0,6.56,0,0,0,0,0,2.19,1.09,2.19,0,1.09
108-118,0,0,0,0,1.53,2.3,1.53,0,0.77,0,4.6,0.77,0,0,0,0,1.53,0.77,0,0,9.19,0,0.77,0.77,3.83,1.53,0.77,0,3.06,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,1.96,1.96,0,3.92,0,0,0,0,1.96,1.96,9.8,0,0,1.96,5.88,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
