stage,endoderm,epidermis,eye,fin_mesenchyme,glial,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,1.64,0,0,13.13,0,0,4.93,0,0
 36-46,0,0,3.22,0,0.81,0,0,0.81,0.81,0,1.61,8.86,0.81,0,4.03,0,0
 48-58,0,0,3.44,0,1.15,0,0,0,4.02,0,0,4.59,0,0,1.72,0,0
 60-70,0,0,2.94,0,0.98,0,0,0,4.91,0,0,5.89,0,0,0,0,0
 72-82,0,0.98,2.94,0,0,0,0.98,0,4.91,0,0,12.76,0.98,0,0,0,0
 84-94,0,0,5.31,0,1.06,0,0,0,1.06,0,1.06,4.25,0,1.06,1.06,0,1.06
 96-106,0,0,3.28,1.09,0,1.09,0,0,1.09,1.09,0,4.37,1.09,0,0,1.09,0
108-118,0.77,0,3.06,0.77,0.77,0,0,0,0,1.53,0,6.89,0.77,0,0,0,0
120,0,1.96,1.96,0,1.96,0,0,0,0,0,0,11.76,0,0,0,0,0
