stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,18.4,0,0,0,23.66,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,102.52,10.51,0,0,52.57,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,1,1,0,2,7,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,5.75,0,0,2.46,0,0,0,0,0,0,0,0,4.1,0,0,52.53,0,0,3.28,0,0,0.82,0,0,0,0,7.39,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,15.31,0,0,1.61,0,0,0,0,0,0,0,1.61,0.81,0,0,20.14,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,24.1,0.57,1.15,2.87,0,0,0,0,0,0,0,0.57,6.89,0,0.57,15.49,0,1.15,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,29.45,0,0,2.94,0,0,0,0,0,0,0,0.98,5.89,0,0,5.89,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,17.67,0,0,1.96,0,0,0,0,0,0,0,0,7.85,0,0,12.76,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,14.87,0,0,0,2.12,0,0,1.06,0,0,1.06,0,4.25,0,1.06,10.62,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,7.65,0,0,2.19,3.28,0,0,0,0,0,0,0,1.09,1.09,1.09,10.93,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0.77,0,0,4.6,0,0,1.53,0,0,0.77,1.53,0.77,0.77,0,0,2.3,0,1.53,6.13,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
