stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,pericytes,periderm,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,5.26,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,3.44,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,2.94,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,11.68,1.06,1.06,0,0,2.12,0,0,1.06,0,0,0,0,2.12
 96-106,0,1.09,0,2.19,0,1.09,16.39,0,0,1.09,1.09,0,0,1.09,0,0,0,3.28,0,0
108-118,0,3.06,2.3,0.77,0,0,7.66,0,0.77,0,3.83,0.77,0.77,0,0.77,0,0,0,0.77,0.77
120,0,3.92,1.96,0,0,0,19.6,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96
