stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,1,0,11,1,0,1,3,1,4,0
 24-34,0,0,0,2.46,0,0,0,0,0,0.82,2.46,0.82,4.93,0,0,0.82,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,2.3,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0.77,0.77,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
