stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,176.23,15.73,0,0,37.76,0,0,0,9.44,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,23,1,5,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,3,50,1,4,2,2,0,1,7,3,3,32,0,0,1,0,0
 24-34,0,0,1.64,0.82,13.13,0,13.13,0,1.64,0,8.21,0,0,0.82,0.82,0,0,3.28,0,14.78,0,0,5.75,210.96,0,27.91,18.06,0,0,0.82,0,9.03,4.93,59.92,0,0,4.93,0,0
 36-46,0,0,0,0,5.64,0,94.26,0,0.81,0,2.42,0,0,0,0,0,0,0,0,8.06,0,0,2.42,170.8,0,20.14,9.67,0,0,0,0,0.81,0,39.48,0,0,1.61,0,0.81
 48-58,0.57,0,0,0,2.3,0.57,190.5,0.57,0.57,0,12.05,0,0,0,0,0,0,0.57,0,17.21,0,1.72,2.3,160.09,0,18.36,6.89,0,0.57,2.3,0,1.72,0,24.67,0,0.57,1.72,0,1.15
 60-70,0,0,0.98,0,3.93,0,463.28,0,0,0.98,10.8,3.93,0,0.98,0.98,0.98,0,2.94,0.98,18.65,0.98,0,2.94,197.29,0,15.7,12.76,0,0,0.98,0,2.94,0,11.78,0,0,0.98,0.98,1.96
 72-82,0,0,10.8,0.98,0.98,0,465.31,0.98,1.96,0,30.43,2.94,0,0.98,0.98,0,0,1.96,0.98,37.3,0.98,0.98,1.96,209.09,0,32.39,20.61,0,0,0.98,0,0.98,0,13.74,0,0.98,1.96,0.98,0
 84-94,0,0,5.31,0,2.12,1.06,368.53,0,1.06,0,20.18,7.43,0,0,1.06,0,0,4.25,1.06,18.05,0,2.12,4.25,114.7,0,20.18,14.87,0,0,2.12,0,1.06,0,5.31,0,1.06,0,1.06,0
 96-106,0,0,3.28,0,2.19,1.09,196.71,0,1.09,0,14.21,4.37,0,0,3.28,0,0,2.19,0,8.74,0,1.09,4.37,101.63,1.09,21.86,18.58,0,0,1.09,0,1.09,0,5.46,0,1.09,2.19,0,0
108-118,0,0,2.3,0,3.06,0,160.85,0,0.77,1.53,9.19,5.36,0,0.77,0.77,1.53,0.77,4.6,2.3,8.43,0,0.77,3.83,127.15,0.77,20.68,18.38,0,0,0,0,1.53,0,2.3,0.77,0,0.77,0.77,0
120,0,0,1.96,0,13.72,1.96,215.58,0,1.96,0,13.72,9.8,0,1.96,1.96,0,0,3.92,1.96,15.68,0,0,7.84,225.38,3.92,43.12,27.44,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0
