stage,axial,blastomeres,epidermis,eye,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,2.46,0,0.82,5.75,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0,1.61,0,0,5.64,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,1.15,0.57,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0.98,0,0.98,0,1.96,0.98,0,2.94,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0,0.98,1.96,0,0,3.93,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
