stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,22.03,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,30,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,11,26,1,0,1,1,0,0,13,1,12,48,29,0,0,2,0,0
 24-34,0,0,0.82,0,7.39,0,2.46,0.82,1.64,0.82,8.21,0,0,0.82,0,0,0,0,0,0,7.39,0,0,5.75,84.55,1.64,0,1.64,0,0,0,0,0,3.28,16.42,44.33,0,0,22.16,0,1.64
 36-46,0,0,0,0,4.83,0.81,8.86,0.81,4.03,0.81,12.89,0,0,0.81,0,0,0.81,0,0,0,11.28,0.81,0,2.42,156.3,0,0,0,0,0,0,0,0.81,0.81,0.81,50.76,0,0,6.45,0,0
 48-58,0,0,0,0.57,1.15,0,11.48,4.02,2.3,1.72,14.35,0.57,0,0.57,0,0,0,0,0.57,0,10.9,0,1.15,9.75,88.37,0,0,0.57,0,0,0.57,0,0.57,1.15,0,34.43,0,0,4.59,0,1.15
 60-70,0,0,0,0,4.91,0,17.67,4.91,2.94,1.96,15.7,0.98,0,0,0,0,0,0.98,0,0,21.59,0,1.96,3.93,81.47,0,0,0.98,0,0.98,0.98,0,0.98,0,0,23.56,0,0,4.91,0,0
 72-82,0,0,0.98,0,7.85,0,19.63,0,0.98,0,8.83,0,0,0,0,0.98,0,0,0,0.98,29.45,0,0.98,5.89,74.61,0,0,1.96,0,0,0.98,0,0,0,0,9.82,0.98,0.98,9.82,2.94,0
 84-94,0,0,0,0,15.93,0,14.87,2.12,4.25,3.19,6.37,3.19,0,0,1.06,2.12,0,0,0,1.06,15.93,0,2.12,7.43,46.73,1.06,0,3.19,0,0,0,0,0,0,0,7.43,5.31,1.06,9.56,4.25,2.12
 96-106,0,0,0,0,8.74,0,10.93,5.46,2.19,2.19,4.37,2.19,0,4.37,0,1.09,1.09,0,0,0,16.39,0,2.19,4.37,31.69,0,0,4.37,0,1.09,1.09,0,0,1.09,0,3.28,2.19,2.19,7.65,8.74,0
108-118,0,0,0,0,11.49,0,7.66,3.06,3.06,2.3,5.36,3.06,0,0,0,0,0,0,0.77,0,13.79,0,0.77,5.36,19.92,0.77,0.77,1.53,0,0.77,0.77,0,0,0.77,0,2.3,2.3,0,4.6,3.83,0
120,0,0,0,0,3.92,0,9.8,0,3.92,1.96,11.76,0,0,0,0,3.92,0,0,0,0,13.72,0,3.92,3.92,29.4,3.92,0,1.96,0,1.96,0,0,0,1.96,0,5.88,3.92,0,1.96,5.88,0
