stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,55,0,1,0,1,0,0,0,1,0,0,0,0,0,10,2,1,0,2,23,0,0,1,1,0,0,12,0,0,0,2
 24-34,0,0,0,66.49,0,5.75,0,5.75,1.64,0,0,0.82,0,0,0,1.64,0,17.24,4.93,2.46,0,0.82,50.89,1.64,3.28,0,3.28,0,2.46,16.42,0,0,0,3.28
 36-46,0,0,0,6.45,0,7.25,0,13.7,1.61,0,0,0.81,0,0,0,0,0,30.62,3.22,0,0,1.61,34.64,0,0,0,2.42,0,2.42,10.47,0,0,0,4.03
 48-58,0,0,0,6.31,0,7.46,0,6.31,0.57,0,0,0,0,0,0,0,0,18.36,13.2,0,0,2.87,15.49,0,0,0,0,0,0.57,4.59,0,0,0,1.15
 60-70,0,0,0.98,8.83,0,5.89,0,5.89,1.96,1.96,0,0,0,1.96,0.98,0,0,0.98,39.26,0,0,2.94,10.8,0.98,0,0,0,0.98,0.98,1.96,0,0,2.94,0
 72-82,0,0,0.98,7.85,0,8.83,0,4.91,1.96,0,0,0,1.96,5.89,0.98,0,0,0.98,154.12,0.98,0.98,4.91,13.74,0.98,4.91,0,0,0,0,0,0,1.96,5.89,0.98
 84-94,0,0,0,11.68,1.06,3.19,1.06,13.81,1.06,0,1.06,0,5.31,3.19,2.12,0,0,3.19,125.32,0,0,7.43,7.43,0,1.06,0,0,0,0,0,1.06,1.06,4.25,0
 96-106,0,0,0,12.02,1.09,6.56,2.19,4.37,2.19,1.09,0,0,5.46,2.19,1.09,0,1.09,1.09,102.73,1.09,1.09,5.46,6.56,0,5.46,0,0,0,0,1.09,0,0,12.02,0
108-118,0,0,1.53,16.85,0,1.53,1.53,19.15,0,0.77,0,0,3.06,2.3,2.3,0,0.77,3.83,101.11,0,1.53,0.77,5.36,0,11.49,0,1.53,0,0.77,0,0,2.3,11.49,0.77
120,0,0,0,9.8,0,1.96,9.8,5.88,1.96,0,0,0,1.96,1.96,1.96,0,0,0,90.15,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0,0,0
