stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,spinal.cord,vasculature
 14-21,2,0,0,2,0,0,0,0,0,0,1,0,0,0,9,0,0,4,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0.82,0,0,0.82,10.67,0,0,2.46,0.82
 36-46,0.81,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0.81,11.28,0.81,0,3.22,0
 48-58,0,0,0,5.16,0,1.15,0,0.57,0,0,2.3,0,0,0,22.95,0.57,0,5.16,0
 60-70,0,0,0,9.82,0.98,2.94,0,0,0,0,1.96,0.98,0,0,16.69,0,0,0.98,0
 72-82,0,0,0,3.93,0,2.94,0,0,0,0,1.96,0,0.98,0,18.65,0.98,0.98,1.96,0.98
 84-94,0,0,0,7.43,0,1.06,1.06,0,1.06,0,5.31,0,0,0,12.74,0,0,1.06,1.06
 96-106,0,0,1.09,13.11,0,2.19,1.09,0,0,1.09,3.28,0,0,0,8.74,0,2.19,1.09,1.09
108-118,0.77,0.77,0,5.36,0,1.53,0,0,0.77,0,3.06,0,0,0,9.96,0,0,0,0
120,1.96,0,0,1.96,0,1.96,0,0,0,0,5.88,0,0,0,13.72,0,1.96,0,0
