stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0
 24-34,3.28,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0.82,47.61,0,0.82,0,4.1,0,0.82
 36-46,0.81,0,0.81,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,107.15,0,0,0,5.64,0,0
 48-58,0,0,1.15,0,0,3.44,0,0,1.15,0,0,0,0.57,0,0,0,0.57,0.57,126.81,0,0,0,9.18,0,0
 60-70,0,0,0,0.98,0,31.41,0,0,0.98,0,0,0,0,0,0,0.98,1.96,0,169.8,0,0,0,14.72,0,0
 72-82,3.93,0,2.94,0,0,58.9,0.98,1.96,4.91,0,0,0,0,0.98,0,0,2.94,0,289.59,0,0,0,11.78,0,0
 84-94,1.06,0,2.12,0,0,43.54,0,0,3.19,0,0,0,2.12,0,0,0,2.12,1.06,144.44,0,0,2.12,9.56,0,0
 96-106,2.19,0,2.19,0,1.09,44.81,0,0,7.65,0,0,0,1.09,0,1.09,0,3.28,0,149.72,1.09,0,3.28,5.46,0,0
108-118,3.06,0,3.06,0.77,0,32.94,0,0,6.13,1.53,0,0.77,0.77,0,0,0,3.06,0,157.02,0,0.77,0,1.53,0.77,0
120,5.88,0,3.92,0,0,15.68,0,0,0,0,0,0,1.96,0,0,0,3.92,1.96,225.38,0,0,1.96,0,0,0
