stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78,0,0,0,0,0,0,0,6.45,0
 48-58,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,1.15,0,0,47.05,0,0,0,0,0,0,0,9.75,0
 60-70,0,0,0,0.98,0,6.87,0,0,3.93,0,0,0,0,0,0,0,0,127.6,0,0,0,0,0,0,0,8.83,0
 72-82,0,0,0,0.98,0.98,10.8,0.98,0.98,6.87,0,0,0.98,0,0,2.94,0.98,0,149.21,0,0.98,0,0,0,0,0,11.78,0.98
 84-94,0,0,0,2.12,0,12.74,0,0,3.19,0,0,1.06,0,0,1.06,0,0,94.52,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,2.19,1.09,7.65,0,0,5.46,0,0,0,0,0,3.28,0,0,85.24,1.09,0,0,0,0,0,0,5.46,0
108-118,0,0,0,2.3,0,6.89,0,0.77,3.83,0,0,0,0,0.77,1.53,0,0,62.04,0,1.53,0,0,0.77,0,0.77,3.83,0
120,0,0,1.96,0,0,5.88,0,0,0,0,0,0,1.96,0,3.92,0,0,92.11,0,0,0,1.96,0,1.96,0,1.96,0
