stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1858.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1826.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,0,55.2,0,0,0,168.24,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,1022.57,28.92,0,0,297.04,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,53.5,0,0,0,44.06,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,415.4,18.88,0,0,232.88,0,0,3.15,0,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,16,7,0,9,0,0,0,12,3,0,0,0,1,0,0,0,0,17,0,11,220,1,4,5,11,0,4,0,29,7,1,14,119,0,0,3,0,0
 24-34,0,0,0,0.82,8.21,1.64,0,28.73,0,0.82,0.82,15.6,0.82,0.82,0,0,0,0,0.82,0,0,43.51,0,16.42,435.87,3.28,9.85,5.75,0,0,11.49,0,0,8.21,0.82,5.75,132.16,0,0,5.75,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,100.71,0,0,0,18.53,0,0,0.81,0.81,1.61,0.81,1.61,1.61,0,31.42,0,5.64,403.64,0,8.86,0.81,0,0,1.61,0,0,0,0,0,116.82,0,0,4.03,0,1.61
 48-58,0,0,0,0,2.87,0,0,179.6,0,1.15,0.57,22.95,0,0.57,2.3,0.57,0,0,0.57,0,1.72,63.69,2.3,5.74,238.13,0.57,5.16,1.72,0,0,2.87,0,0,1.15,0.57,0,65.99,0,0,2.3,0,1.15
 60-70,0,0,0,0,4.91,0.98,0,188.45,0,0,0.98,29.45,0,0,0,0,0,0.98,0.98,0,0,42.21,0.98,5.89,155.08,0.98,9.82,5.89,0,0,0.98,0,0,0,0,0,21.59,0,0,0,0,0.98
 72-82,0,0,0.98,0,3.93,2.94,0,91.29,0,0.98,0.98,24.54,2.94,0,0,1.96,0,0.98,0.98,0,0,50.06,2.94,5.89,127.62,0,8.83,2.94,0,0,2.94,0,0,0,0,0,14.72,0.98,0,6.87,0.98,0
 84-94,0,0,2.12,0,6.37,2.12,0,83.9,0,0,0,11.68,5.31,0,1.06,5.31,1.06,5.31,2.12,1.06,0,36.11,4.25,5.31,63.72,0,11.68,6.37,0,1.06,2.12,0,0,3.19,0,0,1.06,0,0,4.25,0,1.06
 96-106,0,0,1.09,0,4.37,1.09,0,49.18,1.09,1.09,0,13.11,3.28,0,1.09,1.09,2.19,2.19,2.19,0,0,19.67,0,3.28,49.18,1.09,12.02,4.37,0,0,2.19,0,0,1.09,0,0,4.37,0,1.09,6.56,0,0
108-118,0,0,0,0.77,2.3,2.3,1.53,38.3,0,0.77,0.77,10.72,3.06,0,0,0,0,2.3,0.77,0.77,0,15.32,0,3.83,72,0,6.89,1.53,0,0,1.53,0,0,1.53,0,0,1.53,0,0,2.3,0,0.77
120,0,0,0,0,5.88,1.96,0,31.36,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,17.64,0,1.96,29.4,0,1.96,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
