stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,422.94,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,10.51,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,181.38,34.17,0,0,152.47,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,6.29,12.59,0,0,0,0,0,3.15,0,0,0,0,0,94.41,6.29,0,0,66.09,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,7,0,2,3,6,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,1.64,0,0,1.64,0,8.21,0.82,1.64,58.28,0,0.82,0,0,0,0,0,0,0,9.03,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,4.03,1.61,0,0,2.42,0,0,0,0,11.28,0,3.22,15.31,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0,1.72,0,29.26,0,0,1.15,3.44,0,0,0,0,10.33,0,1.72,11.48,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,0,3.93,0,36.32,0,0,0,1.96,0,0,0,0,14.72,0.98,0.98,1.96,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,5.89,0.98,25.52,0,0,0,10.8,0,0,0,0,19.63,2.94,0,6.87,0.98,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,19.12,0,1.06,1.06,6.37,0,0,0,0,10.62,1.06,2.12,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,6.56,0,0,2.19,4.37,1.09,0,0,1.09,8.74,0,2.19,3.28,0,1.09,1.09,0,0,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0.77,0,3.83,0,5.36,0,0,0,8.43,0,0,0,0.77,4.6,0,0.77,4.6,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,5.88,1.96,0,0,17.64,0,0,0,0,1.96,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96
