stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,19.7,0,0.82,0,0,0,0,0.82,0,43.51,0,0,0,0.82,4.93,0,0,4.93,0,0,0,0,1.64,0,1.64,0,0,0,0,0
 36-46,0,0,0,12.89,0,2.42,2.42,0,0,0.81,0,0,11.28,0,0,0,1.61,0.81,0,0,8.06,0,0,0,0.81,0.81,0,0,0.81,0,0,0,0
 48-58,0,0.57,1.15,5.16,0,1.15,4.02,0,0,7.46,0,0,11.48,0,0.57,0.57,0.57,0.57,0,0,5.74,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,5.89,0,1.96,5.89,0.98,0,24.54,0,0,11.78,0,0,0.98,0,0.98,0,0,9.82,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0
 72-82,0,5.89,0,0.98,0,2.94,2.94,0,0,72.64,0,0.98,33.38,0,0,0.98,3.93,1.96,0,0,10.8,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,24.43,2.12,1.06,2.12,0,2.12,101.96,0,0,41.42,1.06,1.06,0,3.19,1.06,0,1.06,7.43,0,0,0,5.31,0,0,0,0,0,0,0,0
 96-106,0,2.19,2.19,8.74,0,3.28,5.46,0,3.28,190.16,0,0,41.53,0,0,1.09,1.09,1.09,0,0,32.79,0,1.09,0,3.28,0,0,0,0,0,1.09,2.19,0
108-118,0,2.3,0.77,15.32,0,0,3.06,0,2.3,158.55,0,0,33.7,0.77,0,0,2.3,0,0,0,36,0,0,0,1.53,0.77,0,0,0,4.6,1.53,0.77,0
120,0,1.96,0,7.84,0,0,0,0,0,101.91,0,0,15.68,1.96,0,1.96,1.96,0,1.96,0,25.48,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96
