stage,blastomeres,epidermis,erythrocytes,eye,hatching.gland,ionocyte,lateral.line,mucous,neural,paraxial.mesoderm,periderm
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,2.63,0
 10-12,0,0,0,0,3.15,0,0,0,9.44,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,0.82,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,0,0,0,0,3.19
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0,0,0,0.77,0,3.83
120,0,0,0,0,0,0,0,0,1.96,0,1.96
