stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,236.02,6.29,0,44.06,3.15,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,0,4.93,0,0.82,0,22.98,0,0,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0,1.61,1.61,0,0,0,25.78,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.72,0,0.57,0,0,0,0.57,0,0.57,2.87,0,0,5.74,0,0,0,9.75,0,0,0.57,0,0.57,0
 60-70,0,0,0,2.94,0,0.98,0,0.98,0.98,0,0,0,0,0,3.93,0,0.98,3.93,0,0,0,13.74,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,2.94,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0,2.94,0,0.98,0,24.54,0,0,0.98,0.98,0,0
 84-94,0,0,0,4.25,0,0,0,2.12,0,0,3.19,0,0,0,1.06,0,0,1.06,0,0,0,61.6,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,0,0,1.09,0,0,0,1.09,3.28,0,2.19,0,0,2.19,0,1.09,0,48.09,0,0,0,0,0,0
108-118,0,0,0,2.3,0,3.06,0,0.77,0,0.77,0.77,0,0.77,0,0,0.77,0,3.83,0,0,0,19.15,0,0,0,0,1.53,0
120,0,0,0,19.6,0,5.88,0,1.96,0,0,0,3.92,1.96,0,5.88,0,3.92,3.92,0,0,0,50.95,0,1.96,0,0,1.96,0
