stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,6,0,3,0,0,0,0,0,1,12,0,0,0,0,0,4,0,2,4,0
 24-34,0,0,0,0,4.1,0,3.28,0,0.82,0.82,3.28,0,0,45.15,0,3.28,0,0,0,0,0,0,9.03,0.82
 36-46,0,0,0,0,0,0,2.42,0.81,0.81,0,3.22,0,0,34.64,0,1.61,0.81,0,0,0,0,0,9.67,0
 48-58,0,0,0,0,0,0,6.89,0.57,1.72,0,2.3,0,0,48.2,0,0.57,0,0,0,0,0,0,12.62,0.57
 60-70,0,0,0,0,0.98,0,3.93,1.96,8.83,0,0.98,0,0,39.26,0,0.98,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,0,7.85,0,11.78,0,0.98,0,0,50.06,0,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,0,0,5.31,2.12,18.05,0,2.12,1.06,0,15.93,0,0,1.06,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,0,7.65,2.19,17.49,0,0,0,0,17.49,0,0,0,0,0,0,0,0,3.28,0
108-118,0,0,0,0,0.77,0.77,2.3,0,16.09,0,2.3,0,0,10.72,0,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,1.96,0,15.68,0,5.88,0,0,11.76,0,0,0,0,0,0,0,0,0,0
