stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,110.41,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,14,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,2,94,1,1,1,1,0,0,16,0,1,11,17,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,0,0,1.64,0,0,0,0,1.64,0,0,0,0.82,8.21,0.82,0,4.1,117.38,0,0.82,2.46,0,0,0.82,0,0.82,0,0.82,32.01,0,0,0,0,0
 36-46,0,0,0,4.03,0,0,11.28,0,0,0.81,4.83,0,0,0,0,0,0,0,0,0,11.28,0,0,3.22,171.61,0,1.61,0,0,0,1.61,0,0,0,0,49.95,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,22.38,0,0,0,12.62,0,0,0,0.57,0,0,0.57,0,0,11.48,0,0.57,2.87,134.27,0,3.44,0,0,0,0.57,0,0.57,0,0,41.31,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0,0,44.17,0,0.98,0,18.65,0,0,1.96,0,0.98,0,0,0,0,18.65,0.98,1.96,1.96,287.59,0,1.96,0,0,0,1.96,0,0,0.98,0,31.41,0.98,0,0.98,0,0
 72-82,0,0,0,2.94,2.94,0,54.97,0,1.96,1.96,27.49,0,0,0,0,0,0,1.96,0,0,43.19,0,0,2.94,204.19,0,2.94,3.93,0,0.98,4.91,0,0,0,0,12.76,0,0.98,3.93,0.98,0
 84-94,0,0,0,2.12,0,0,36.11,0,1.06,1.06,11.68,0,0,0,2.12,1.06,0,1.06,0,0,16.99,0,1.06,4.25,113.64,0,2.12,2.12,0,1.06,10.62,0,0,0,0,12.74,0,2.12,2.12,1.06,0
 96-106,0,0,0,10.93,2.19,0,39.34,0,0,1.09,12.02,2.19,0,0,1.09,2.19,1.09,1.09,1.09,2.19,18.58,2.19,2.19,1.09,111.47,0,3.28,5.46,0,0,21.86,0,0,0,0,5.46,1.09,0,1.09,4.37,1.09
108-118,0,0,0,8.43,0,2.3,42.89,0.77,0,0.77,12.26,2.3,0,0.77,0,1.53,0,0.77,2.3,0,27.57,0,0.77,4.6,138.64,0,3.83,3.83,0,0,5.36,0,0.77,0,0,3.06,1.53,0.77,2.3,0.77,1.53
120,0,0,1.96,5.88,1.96,0,27.44,0,0,1.96,17.64,0,0,0,3.92,1.96,1.96,3.92,1.96,0,27.44,0,0,3.92,141.1,0,0,3.92,0,1.96,7.84,0,1.96,0,0,1.96,0,3.92,0,1.96,0
