stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,12,4,0,0,0,0,0,0,0,0,0,13,0,9,11,1,0,0,4,0,4,1,0,0
 24-34,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,19.7,0,3.28,17.24,0,1.64,0,0,0,0.82,6.57,0,0
 36-46,0,0,0,3.22,0,4.83,0,0,0.81,0,0,0,0,0,18.53,0,0,12.09,0.81,4.03,0,0,0,0,3.22,0,0
 48-58,0,0,0,3.44,0,4.02,0,0.57,0.57,0,0,0,0,0,23.53,0.57,2.3,17.21,0,5.74,0,0,0,0,2.87,0,0
 60-70,0,0,0,3.93,0,19.63,0.98,0,5.89,0.98,0,0,0,0,42.21,0,1.96,18.65,0,5.89,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,11.78,0,0,3.93,0.98,0,0,0.98,0,63.81,0.98,4.91,26.5,0,5.89,0,0,0,0,1.96,0,0
 84-94,0,0,0,6.37,0,3.19,0,0,3.19,0,1.06,0,1.06,1.06,39.3,0,0,13.81,0,4.25,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,1.09,1.09,4.37,0,0,3.28,0,0,0,1.09,0,30.6,1.09,1.09,7.65,0,4.37,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,4.6,0,0,0,0,0,0,0,0,36.77,0,2.3,6.89,0,3.83,0.77,0,3.83,0,0,1.53,0.77
120,0,0,0,0,0,3.92,1.96,0,0,0,0,1.96,0,0,37.24,0,0,7.84,0,11.76,0,0,3.92,0,0,0,0
