stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,9.03,2.46,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,4.03,0,0.81,0.81,0,0,0,0,0,0,0,1.61,0,0,29.81,4.03,1.61,0,0,0,0,0,11.28,0,0.81,0
 48-58,0,0,1.15,0,12.62,0,1.15,0,0.57,0,0,0,0,4.02,0,0.57,36.15,1.72,0,0,0,0,0.57,0,14.35,0,1.15,0
 60-70,0,0,3.93,0,77.54,0,5.89,0.98,0.98,0,0,0,0,7.85,0,0,97.17,5.89,0.98,0,0.98,0,0,0,22.58,0,0,0.98
 72-82,0,0,3.93,0,145.29,0.98,8.83,1.96,0,0,0,0,0,6.87,0,0,89.33,8.83,0,0,0,0,0,0,17.67,0,0.98,0.98
 84-94,0,0,11.68,0,137,1.06,8.5,0,0,0,1.06,1.06,0,5.31,0,0,61.6,4.25,0,0,0,0,0,0,12.74,1.06,0,1.06
 96-106,0,1.09,2.19,1.09,136.61,1.09,7.65,1.09,1.09,0,0,0,0,5.46,1.09,0,69.94,6.56,1.09,0,0,0,0,0,6.56,0,1.09,0
108-118,0,0,10.72,1.53,88.09,1.53,5.36,1.53,0.77,0,0.77,0,0.77,3.06,0,0,90.38,3.83,0,0,0,0,0.77,0,3.06,0,2.3,0.77
120,0,0,9.8,0,48.99,0,3.92,0,0,1.96,0,0,0,5.88,0,0,78.39,11.76,0,0,0,0,0,0,3.92,0,1.96,0
